Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_chirality,Pos_2_chirality,Pos_3_chirality,Pos_4_chirality,Pos_5_chirality,Pos_6_chirality,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0871999999999999,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.7395999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.0269,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,-0.3269000000000002,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.5884999999999998,0.8492,0.5884999999999998,0.8492,-1.1224999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.641,0.5884999999999998,0.5884999999999998,0.5884999999999998,0.5884999999999998,-1.1224999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.641,0.5884999999999998,0.5884999999999998,0.5884999999999998,-0.177,-1.1224999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.641,0.5884999999999998,0.5884999999999998,-0.177,0.5884999999999998,-1.1224999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.641,0.5884999999999998,-0.177,0.5884999999999998,0.5884999999999998,-1.1224999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2934,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,1.2408999999999997,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.4443999999999999,0.5884999999999998,-0.177,0.4757,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,1.1055999999999997,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.0706,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.641,0.8507999999999998,0.7051000000000001,0.5884999999999998,-0.177,0.3166,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
-0.9703,-1.2208999999999997,0.641,0.4443999999999999,0.3466,-0.5817999999999999,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9703,-1.2208999999999997,0.641,0.4443999999999999,0.3466,-1.2208999999999997,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9703,-1.2208999999999997,0.641,0.4443999999999999,0.3466,0.0543,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9703,0.0543,-0.9703,0.641,0.3466,0.4443999999999999,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0311,0.0360000000000002,-0.177,1.2934,1.4212,0.641,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.4443999999999999,0.4443999999999999,0.4443999999999999,0.4443999999999999,-0.177,1.1223,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,1.5141999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,-0.3194999999999999,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,0.5894999999999995,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,0.4757,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,-1.0071999999999994,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,1.6834999999999998,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.4443999999999999,0.2982999999999993,0.7051000000000001,0.5884999999999998,-0.177,1.0473,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
